Date,State Name,DistrictName,Average Soilmoisture Level (at 15cm),Average SoilMoisture Volume (at 15cm),Aggregate Soilmoisture Percentage (at 15cm),Volume Soilmoisture percentage (at 15cm)
2018/07/21,GOA,SOUTH GOA,8.14,-,68.88,43.01058645
2018/07/21,GOA,NORTH GOA,5.77,-,48.45,42.45092831
2018/07/20,GOA,SOUTH GOA,8.26,-,70.11,43.75248885
2018/07/20,GOA,NORTH GOA,5.89,-,49.64,43.38790782
2018/07/19,GOA,SOUTH GOA,8.2,-,69.48,43.10483763
2018/07/19,GOA,NORTH GOA,5.83,-,49.12,42.90459791
2018/07/18,GOA,SOUTH GOA,8.11,-,68.63,42.46533889
2018/07/18,GOA,NORTH GOA,5.65,-,47.23,41.37753951
2018/07/17,GOA,SOUTH GOA,8.25,-,70,43.66445947
2018/07/17,GOA,NORTH GOA,5.84,-,49.08,42.83226654
2018/07/16,GOA,SOUTH GOA,8.25,-,69.93,43.48137537
2018/07/16,GOA,NORTH GOA,5.88,-,49.52,43.31219773
2018/07/15,GOA,SOUTH GOA,8.12,-,68.68,42.7704586
2018/07/15,GOA,NORTH GOA,5.85,-,49.33,43.10893826
2018/07/14,GOA,SOUTH GOA,8.01,-,67.67,42.14637949
2018/07/14,GOA,NORTH GOA,5.76,-,48.54,42.55127618
2018/07/13,GOA,SOUTH GOA,8.12,-,68.77,42.84713931
2018/07/13,GOA,NORTH GOA,5.8,-,48.84,42.84083498
2018/07/12,GOA,SOUTH GOA,8.25,-,69.99,43.64244257
2018/07/12,GOA,NORTH GOA,5.86,-,49.35,43.21677417
2018/07/11,GOA,SOUTH GOA,8.25,-,70.01,43.67803232
2018/07/11,GOA,NORTH GOA,5.88,-,49.53,43.31664379
2018/07/10,GOA,SOUTH GOA,8.26,-,70.04,43.70209799
2018/07/10,GOA,NORTH GOA,5.88,-,49.55,43.34142686
2018/07/09,GOA,SOUTH GOA,8.26,-,70.07,43.74198436
2018/07/09,GOA,NORTH GOA,5.89,-,49.64,43.38651669
2018/07/08,GOA,SOUTH GOA,8.26,-,70.09,43.74636284
2018/07/08,GOA,NORTH GOA,5.89,-,49.65,43.38867076
2018/07/07,GOA,SOUTH GOA,8.26,-,70.03,43.67934741
2018/07/07,GOA,NORTH GOA,5.86,-,49.37,43.22531133
2018/07/06,GOA,SOUTH GOA,8.26,-,70.04,43.70068759
2018/07/06,GOA,NORTH GOA,5.87,-,49.51,43.31069419
2018/07/05,GOA,SOUTH GOA,8.24,-,69.87,43.57359698
2018/07/05,GOA,NORTH GOA,5.85,-,49.29,43.16731389
2018/07/04,GOA,SOUTH GOA,8.19,-,69.53,43.53712378
2018/07/04,GOA,NORTH GOA,5.85,-,49.28,43.12049253
2018/07/03,GOA,SOUTH GOA,8.19,-,69.5,43.52554776
2018/07/03,GOA,NORTH GOA,5.84,-,49.17,43.07834368
2018/07/02,GOA,SOUTH GOA,8.14,-,69.05,43.1849741
2018/07/02,GOA,NORTH GOA,5.8,-,48.85,42.97535761
2018/07/01,GOA,SOUTH GOA,8.01,-,67.64,41.81187581
2018/07/01,GOA,NORTH GOA,5.63,-,47.36,42.18627092
2018/08/31,GOA,SOUTH GOA,7.82,-,65.75,40.01544427
2018/08/31,GOA,NORTH GOA,5.54,-,46.19,40.30809362
2018/08/30,GOA,SOUTH GOA,7.94,-,66.92,41.47032086
2018/08/30,GOA,NORTH GOA,5.68,-,47.46,41.58539613
2018/08/29,GOA,SOUTH GOA,8.09,-,68.38,43.13435299
2018/08/29,GOA,NORTH GOA,5.82,-,48.99,42.91704087
2018/08/28,GOA,SOUTH GOA,8.03,-,67.84,42.71480752
2018/08/28,GOA,NORTH GOA,5.84,-,49.13,43.08859659
2018/08/27,GOA,SOUTH GOA,7.66,-,64.44,39.57639943
2018/08/27,GOA,NORTH GOA,5.66,-,47.81,42.38326975
2018/08/26,GOA,SOUTH GOA,7.55,-,63.49,37.53455771
2018/08/26,GOA,NORTH GOA,5.35,-,44.7,40.06285762
2018/08/25,GOA,SOUTH GOA,7.44,-,62.3,35.64006714
2018/08/25,GOA,NORTH GOA,5.17,-,42.62,37.8155215
2018/08/24,GOA,SOUTH GOA,7.55,-,63.22,36.99131453
2018/08/24,GOA,NORTH GOA,5.26,-,43.54,38.86654862
2018/08/23,GOA,SOUTH GOA,7.65,-,64.15,38.59961891
2018/08/23,GOA,NORTH GOA,5.41,-,45.03,40.32560476
2018/08/22,GOA,SOUTH GOA,7.72,-,64.82,39.63773518
