Date,State Name,DistrictName,Average Soilmoisture Level (at 15cm),Average SoilMoisture Volume (at 15cm),Aggregate Soilmoisture Percentage (at 15cm),Volume Soilmoisture percentage (at 15cm)
2018/06/26,ARUNACHAL PRADESH,EAST KAMENG,2.49,-,15.33,32.39250512
2018/06/26,ARUNACHAL PRADESH,CHANGLANG,8.94,-,55.39,43.13369994
2018/06/26,ARUNACHAL PRADESH,TAWANG,3.4,-,28.85,26.47526998
2018/06/26,ARUNACHAL PRADESH,LOWER DIBANG VALLEY,9.3,-,56.23,36.38096363
2018/06/26,ARUNACHAL PRADESH,DIBANG VALLEY,6.03,-,33.26,30.02541388
2018/06/26,ARUNACHAL PRADESH,PAPUM PARE,3,-,23.29,37.46563134
2018/06/26,ARUNACHAL PRADESH,LOWER SUBANSIRI,3.07,-,29.81,39.09883621
2018/06/26,ARUNACHAL PRADESH,WEST KAMENG,2.43,-,19.83,31.01916704
2018/06/26,ARUNACHAL PRADESH,EAST SIANG,7.41,-,40.6,40.54818227
2018/06/26,ARUNACHAL PRADESH,UPPER SIANG,5.79,-,32.93,32.46456306
2018/06/26,ARUNACHAL PRADESH,LOHIT,11.28,-,67.38,41.71672793
2018/06/26,ARUNACHAL PRADESH,ANJAW,10.07,-,58.69,36.10167592
2018/06/26,ARUNACHAL PRADESH,WEST SIANG,3.93,-,25.42,38.34829701
2018/06/25,ARUNACHAL PRADESH,UPPER SUBANSIRI,1.74,-,13.2,33.83657821
2018/06/25,ARUNACHAL PRADESH,TIRAP,4.5,-,35.25,43.80696113
2018/06/25,ARUNACHAL PRADESH,KURUNG KUMEY,2.01,-,11.88,34.96446732
2018/06/25,ARUNACHAL PRADESH,EAST KAMENG,2.32,-,14.02,31.9001895
2018/06/25,ARUNACHAL PRADESH,CHANGLANG,8.64,-,53.5,42.56262436
2018/06/25,ARUNACHAL PRADESH,TAWANG,3.4,-,28.93,26.00951281
2018/06/25,ARUNACHAL PRADESH,LOWER DIBANG VALLEY,8.92,-,53.88,35.31976216
2018/06/25,ARUNACHAL PRADESH,DIBANG VALLEY,5.82,-,32.11,29.9715199
2018/06/25,ARUNACHAL PRADESH,PAPUM PARE,2.32,-,17.28,36.22721735
2018/06/25,ARUNACHAL PRADESH,LOWER SUBANSIRI,3.03,-,30.21,39.23266505
2018/06/25,ARUNACHAL PRADESH,WEST KAMENG,1.78,-,14.15,27.5386688
2018/06/25,ARUNACHAL PRADESH,EAST SIANG,6.33,-,34.02,38.40199854
2018/06/25,ARUNACHAL PRADESH,UPPER SIANG,5.96,-,33.88,33.02410738
2018/06/25,ARUNACHAL PRADESH,LOHIT,9.62,-,56.79,38.13720809
2018/06/25,ARUNACHAL PRADESH,ANJAW,7.83,-,45.67,31.43003932
2018/06/25,ARUNACHAL PRADESH,WEST SIANG,3.46,-,22.78,37.38787481
2018/06/24,ARUNACHAL PRADESH,UPPER SUBANSIRI,1.86,-,14.17,34.8642481
2018/06/24,ARUNACHAL PRADESH,TIRAP,4.1,-,31.37,42.07013715
2018/06/24,ARUNACHAL PRADESH,KURUNG KUMEY,2.06,-,12.2,35.35360912
2018/06/24,ARUNACHAL PRADESH,EAST KAMENG,2.4,-,14.5,32.13296377
2018/06/24,ARUNACHAL PRADESH,CHANGLANG,8.24,-,50.8,41.96624554
2018/06/24,ARUNACHAL PRADESH,TAWANG,3.45,-,29.34,26.33414579
2018/06/24,ARUNACHAL PRADESH,LOWER DIBANG VALLEY,9.12,-,54.98,35.19296146
2018/06/24,ARUNACHAL PRADESH,DIBANG VALLEY,5.68,-,31.4,27.99923602
2018/06/24,ARUNACHAL PRADESH,PAPUM PARE,1.8,-,13.44,35.31244082
2018/06/24,ARUNACHAL PRADESH,LOWER SUBANSIRI,2.32,-,23.05,37.27762154
2018/06/24,ARUNACHAL PRADESH,WEST KAMENG,1.85,-,14.68,27.9441787
2018/06/24,ARUNACHAL PRADESH,EAST SIANG,6.76,-,36.75,40.15651699
2018/06/24,ARUNACHAL PRADESH,UPPER SIANG,6.26,-,35.59,34.05752488
2018/06/24,ARUNACHAL PRADESH,LOHIT,8.92,-,52.21,36.31990383
2018/06/24,ARUNACHAL PRADESH,ANJAW,7.79,-,45.34,31.08911121
2018/06/24,ARUNACHAL PRADESH,WEST SIANG,3.41,-,22.4,38.00344191
2018/06/23,ARUNACHAL PRADESH,UPPER SUBANSIRI,1.86,-,14.02,35.04345782
2018/06/23,ARUNACHAL PRADESH,TIRAP,3.82,-,29.22,40.88688304
2018/06/23,ARUNACHAL PRADESH,KURUNG KUMEY,2.1,-,12.42,35.22041469
2018/06/23,ARUNACHAL PRADESH,EAST KAMENG,2.75,-,16.97,33.79986931
2018/06/23,ARUNACHAL PRADESH,CHANGLANG,5.97,-,35.95,35.74292249
2018/06/23,ARUNACHAL PRADESH,TAWANG,3.49,-,29.66,26.65836307
2018/06/23,ARUNACHAL PRADESH,LOWER DIBANG VALLEY,9.46,-,56.96,35.87341152
2018/06/23,ARUNACHAL PRADESH,DIBANG VALLEY,5.98,-,33.05,28.75928126
2018/06/23,ARUNACHAL PRADESH,PAPUM PARE,1.91,-,14.89,36.34126728
2018/06/23,ARUNACHAL PRADESH,LOWER SUBANSIRI,2.25,-,22.37,37.10524038
2018/06/23,ARUNACHAL PRADESH,WEST KAMENG,1.97,-,15.63,28.7429899
